index,hand,age,ace,df,svpt,svGms,bpSaved,bpFaced,rank,result,1stIn(%),1stWon(%),2ndWon(%)
46554,0,23.8,8,3,107,13,8,11,10,1,57,62,56
46555,0,34.9,1,2,41,8,2,6,300,0,51,62,44
46556,0,27.8,5,8,89,14,5,7,202,1,69,75,55
46557,1,21.1,1,0,51,9,3,6,425,0,55,64,52
46558,0,22,10,3,102,14,5,6,49,1,58,86,55
46559,0,24.5,9,5,97,17,2,4,90,1,65,83,66
46560,0,29.3,14,11,97,13,9,14,112,0,55,72,42
46561,0,31.6,11,4,88,12,6,10,23,0,66,67,42
46562,0,29.3,4,2,87,13,5,11,44,0,62,63,45
46563,0,28.1,3,6,88,12,2,5,29,0,57,70,47
46564,0,29.7,2,1,56,9,3,3,29,1,66,76,67
46565,0,23.3,2,5,113,15,9,17,46,0,66,53,42
46566,0,22.6,5,1,50,8,3,3,15,1,58,76,70
46567,0,25.9,7,8,85,14,6,8,12,0,48,78,67
46568,0,28.5,15,1,72,12,1,4,51,1,68,65,55
46569,0,29.9,7,4,79,11,2,3,20,1,70,75,55
46570,1,18.5,13,3,89,15,4,6,49,1,57,76,69
46571,0,29.8,18,4,105,17,4,8,20,1,49,80,50
46572,0,26.7,5,1,84,13,8,10,35,1,69,67,56
46573,0,22.6,6,6,71,13,1,1,37,1,48,88,74
46574,1,21.6,2,1,67,9,4,8,58,0,60,68,31
46575,0,27.6,10,3,76,15,2,5,135,1,74,71,71
46576,0,21.2,7,8,163,24,12,20,6,0,53,66,56
46577,0,32.8,1,1,54,9,2,6,58,0,63,59,42
46578,0,22.4,10,2,85,15,3,4,60,0,60,76,72
46579,0,19.1,20,2,85,14,5,7,28,1,68,79,48
46580,0,19.5,7,4,82,13,2,6,68,0,54,77,41
46581,0,23.4,8,1,63,9,3,3,10,1,54,76,57
46582,0,28.9,2,3,95,15,3,8,236,0,62,59,58
46583,0,32.5,1,4,65,10,4,9,47,0,55,69,36
46584,0,22.3,5,2,71,11,3,4,58,1,61,81,58
46585,0,31,8,1,56,9,0,0,1,1,59,82,68
46586,1,28.7,1,1,61,9,6,9,67,0,69,57,61
46587,0,21.3,3,1,71,11,1,3,3,0,62,70,54
46588,0,24,0,0,53,8,1,6,5,0,57,50,39
46589,0,34.2,3,2,64,11,2,9,59,0,61,51,43
46590,0,24.9,6,0,82,13,3,5,463,1,62,75,55
46591,1,22.2,12,2,91,16,0,1,3,1,65,78,63
46592,1,25.1,4,1,72,11,3,7,56,0,49,74,44
46593,0,30.3,3,4,66,12,1,4,43,0,53,71,63
46594,0,33,4,3,79,12,3,5,65,0,65,69,64
46595,1,21.4,7,12,194,28,13,21,11,0,62,66,61
46596,0,26.2,3,2,61,11,4,7,38,1,67,80,56
46597,0,21.4,0,3,59,10,1,6,82,0,64,50,56
46598,0,29.8,3,2,56,9,4,8,50,0,61,59,40
46599,0,23.5,5,11,77,12,2,5,221,0,39,70,64
46600,0,27.9,9,3,157,23,10,19,551,0,62,61,51
46601,0,21.6,3,2,62,9,4,9,60,0,60,62,26
46602,0,26.4,11,9,176,29,8,13,88,0,59,77,54
46603,1,22,3,0,82,12,5,8,2,1,61,68,50
46604,0,21,3,1,47,9,0,1,11,1,72,79,58
46605,0,25.8,4,3,67,11,3,5,85,1,57,68,65
46606,0,28.1,6,6,149,22,4,7,128,0,70,69,62
46607,0,31.1,2,4,99,16,5,12,24,0,56,53,57
46608,0,25.6,2,4,61,9,4,5,13,1,70,77,50
46609,0,34.9,3,2,57,9,2,2,37,1,58,82,59
46610,0,23.3,10,4,62,9,2,2,33,1,52,81,69
46611,0,27.1,19,3,112,18,0,0,17,1,61,90,71
46612,0,23.1,31,5,157,24,4,6,83,0,63,75,62
46613,0,21.6,4,5,74,11,2,2,209,1,45,85,72
46614,0,21.6,3,6,124,17,9,15,65,0,58,67,54
46615,0,29.3,5,0,50,9,1,3,58,0,60,83,45
46616,0,27.1,11,4,143,23,5,8,15,1,62,77,61
46617,0,29.7,2,0,48,9,0,1,1,1,40,84,66
46618,0,29.4,30,7,119,18,5,6,12,1,61,85,69
46619,0,24.1,5,3,68,11,3,4,11,0,43,72,69
46620,0,30.3,2,3,74,11,4,6,73,1,69,71,50
46621,0,21.4,5,4,104,15,5,9,76,0,52,69,54
46622,0,21.9,12,6,94,14,7,9,33,1,62,72,60
46623,0,22.6,13,2,56,10,2,4,9,0,66,78,53
46624,0,24,8,8,110,15,10,14,27,0,55,73,48
46625,0,22.9,3,0,54,8,1,1,90,1,74,75,43
46626,0,19.1,7,3,64,11,1,3,59,1,73,74,71
46627,0,24,16,0,108,17,2,3,15,1,67,82,61
46628,0,18.4,2,3,52,9,2,6,78,0,60,71,39
46629,0,23.3,3,10,125,16,14,19,29,1,65,64,53
46630,0,30.2,8,1,56,11,0,0,12,1,80,80,80
46631,1,27.1,2,4,54,8,4,9,31,0,52,61,36
46632,0,26.7,11,5,120,19,6,9,6,1,49,71,61
46633,0,33.1,0,1,65,11,2,4,107,1,68,70,60
46634,0,26,4,4,94,13,7,10,71,0,69,65,56
46635,1,17.9,22,7,104,17,3,4,655,0,61,84,74
46636,0,23.2,1,2,65,10,7,10,88,1,74,56,67
46637,0,30.9,6,1,56,9,3,7,19,0,57,75,22
46638,0,23.8,10,1,44,9,0,0,12,1,70,87,75
46639,0,30.6,5,4,85,12,7,10,78,0,59,70,52
46640,0,27.9,11,2,119,16,10,11,50,1,56,70,60
46641,0,24.2,4,3,57,8,6,12,88,0,58,48,38
46642,0,30.4,6,0,66,10,2,4,174,0,71,77,47
46643,0,24.6,3,1,70,12,1,2,8,1,71,74,63
46644,1,22.1,1,3,67,12,4,8,154,0,70,68,53
46645,0,30.2,0,4,59,10,2,7,144,0,53,58,50
46646,0,31.1,11,2,58,9,0,0,39,1,71,76,67
46647,1,21.2,25,5,103,16,6,8,124,1,70,69,65
46648,1,25.3,7,4,97,15,3,7,137,0,56,72,51
46649,0,25.1,0,3,45,8,4,9,38,0,56,52,35
46650,0,24.9,2,1,78,13,2,2,67,1,79,74,73
46651,0,30,4,1,73,10,5,9,86,0,59,65,34
46652,0,18.4,3,1,66,9,8,10,42,1,62,59,62
46653,0,31.2,2,2,84,13,6,9,56,0,76,69,56
46654,0,29.6,6,1,58,9,1,5,3,0,60,57,50
46655,1,30.1,6,7,97,13,11,16,125,0,56,61,56
46656,0,28.4,8,3,106,19,3,5,10,1,73,78,69
46657,1,25.9,5,2,58,9,3,3,101,1,60,77,67
46658,0,24.8,20,2,72,14,4,4,24,1,68,88,81
46659,1,26.9,5,0,48,10,0,0,11,1,81,82,89
46660,0,27,6,7,110,14,6,13,56,1,64,54,58
46661,0,21.7,2,6,75,13,4,7,36,1,51,74,68
46662,0,28.7,2,1,67,9,5,6,73,1,63,69,58
46663,0,30.2,3,0,43,7,5,5,53,1,60,85,59
46664,0,27.6,5,5,97,15,6,9,55,0,63,74,52
46665,0,28.3,5,2,88,13,11,15,96,1,52,67,45
46666,0,31,5,4,59,10,1,1,30,1,68,88,47
46667,0,28.6,9,2,98,14,5,7,74,1,66,68,58
46668,0,29.8,0,3,37,7,2,6,72,0,49,67,38
46669,1,32,3,7,75,10,5,7,29,0,60,67,65
46670,0,26.8,10,6,130,21,9,15,276,1,48,75,48
46671,1,20.4,15,2,87,15,5,6,144,1,69,85,52
46672,0,27.9,7,1,93,16,3,4,78,1,67,76,60
46673,0,21.7,2,0,115,15,8,9,81,1,60,72,57
46674,1,27.2,3,6,54,8,6,10,89,0,44,58,58
46675,0,31,1,0,59,10,4,7,104,1,69,63,56
46676,0,26.1,5,3,107,16,3,5,10,1,49,87,54
46677,0,20.3,2,5,64,12,1,8,295,0,42,44,50
46678,0,18.6,11,4,79,12,1,2,69,1,58,83,69
46679,0,27,5,5,65,13,2,7,110,0,55,72,46
46680,0,26.2,2,2,57,8,3,6,28,0,67,58,53
46681,0,27.1,7,0,48,9,1,1,36,1,67,84,62
46682,0,32.5,5,0,134,20,9,10,53,1,62,75,63
