index,surface,age,ace,df,svpt,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
59744,Hard,27.3,5,4,84,11,4,8,0,55,61,56
59745,Grass,25.5,25,14,135,18,6,6,1,59,86,55
59746,Hard,21.4,7,3,48,9,1,4,0,60,72,56
59747,Hard,22.1,5,0,35,7,0,0,1,49,88,72
59748,Hard,25.3,3,3,78,14,1,1,1,73,79,72
59749,Hard,24.5,0,4,79,12,3,4,0,54,70,66
59750,Hard,29.5,0,8,101,12,8,12,0,58,61,62
59751,Hard,27.3,33,0,125,24,2,4,1,68,87,50
59752,Clay,29.7,3,2,78,11,4,5,0,60,72,55
59753,Clay,32.4,1,4,85,11,9,15,0,59,58,39
59754,Hard,21.3,9,4,95,17,4,8,1,65,74,66
59755,Hard,30,5,2,54,8,3,7,0,69,62,33
59756,Carpet,23.4,6,1,104,16,4,5,1,67,79,61
59757,Hard,31.7,2,5,88,11,8,11,0,52,61,62
59758,Clay,26.1,13,1,103,17,4,7,0,59,75,49
59759,Hard,29.9,3,6,44,8,1,4,0,48,71,59
59760,Hard,20.9,4,5,54,9,6,8,1,59,75,53
59761,Hard,28.5,1,2,75,11,3,4,1,75,77,53
59762,Hard,27,7,3,61,10,6,9,0,51,68,59
59763,Clay,26.2,5,4,119,14,10,11,1,50,71,55
59764,Hard,23.5,14,11,132,17,4,7,0,47,84,49
59765,Clay,25.2,1,1,107,15,4,6,0,73,65,64
59766,Hard,27.7,7,0,65,9,5,5,1,63,68,62
59767,Hard,22.3,8,2,100,16,10,12,1,58,76,55
59768,Carpet,29.8,4,3,42,8,0,3,0,64,67,50
59769,Clay,23.1,2,4,62,9,6,9,0,48,67,54
59770,Hard,22.5,2,2,92,15,3,8,0,64,64,68
59771,Hard,29.1,3,1,50,9,4,5,1,68,79,73
59772,Hard,22.3,8,1,92,15,1,4,0,63,81,36
59773,Hard,28.3,9,0,43,9,0,0,1,72,87,75
59774,Grass,30.2,6,2,53,9,3,3,1,60,78,74
59775,Grass,20.7,6,2,83,14,4,8,1,60,78,45
59776,Clay,27.5,1,1,63,10,7,11,1,76,54,50
59777,Hard,25.3,4,1,36,7,0,0,1,75,85,75
59778,Hard,25.8,12,1,156,22,11,17,0,60,65,56
59779,Hard,23.3,24,8,138,22,9,16,1,62,78,43
59780,Hard,21.1,5,2,75,11,4,5,1,59,75,66
59781,Clay,30.7,1,0,12,3,0,0,1,75,100,100
59782,Hard,22.1,4,3,125,20,10,16,0,58,72,46
59783,Clay,26.9,3,1,35,7,0,1,1,71,76,78
59784,Hard,27.4,3,5,66,12,3,7,0,62,68,70
59785,Clay,23.2,5,4,121,20,3,8,0,50,77,50
59786,Hard,27.9,13,4,104,14,7,9,0,51,70,60
59787,Clay,19.7,3,5,68,10,6,8,1,59,75,48
59788,Hard,26.1,0,0,62,10,7,8,1,81,68,75
59789,Hard,26.6,1,2,92,14,1,2,1,70,69,81
59790,Hard,24,10,7,201,30,12,18,0,58,71,47
59791,Hard,26.7,11,5,120,19,6,9,1,49,71,61
59792,Clay,21.3,2,2,67,9,1,2,1,67,62,65
59793,Clay,25.8,11,5,67,11,1,4,1,57,74,67
59794,Hard,33.6,1,2,81,12,5,11,0,67,56,48
59795,Hard,23.9,2,0,80,13,3,5,1,48,74,57
