level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
11913,11913,Madrid Masters,Clay,20090510,103819,27.7,104417,6-1 7-5,R32,11,1,54,27,23,17,10,0,1,1,50,85,65
11919,11919,Madrid Masters,Clay,20090510,103819,27.7,103484,6-2 6-4,R16,5,0,54,31,27,13,9,1,1,1,57,87,57
11923,11923,Madrid Masters,Clay,20090510,103819,27.7,104053,7-5 6-7(5) 6-1,QF,15,2,97,56,49,20,16,2,3,1,58,88,51
11925,11925,Madrid Masters,Clay,20090510,103819,27.7,105223,6-3 6-4,SF,8,1,60,39,32,11,10,4,4,1,65,82,55
11926,11926,Madrid Masters,Clay,20090510,103819,27.7,104745,6-4 6-4,F,6,3,67,42,29,17,10,4,4,1,63,69,77
12245,12245,Basel,Hard,20091102,103819,28.2,103694,6-3 6-4,R32,12,1,55,37,32,10,10,0,0,1,67,86,59
12261,12261,Basel,Hard,20091102,103819,28.2,104312,6-3 6-3,R16,6,0,55,38,30,10,9,2,2,1,69,79,59
12269,12269,Basel,Hard,20091102,103819,28.2,105095,6-3 6-2,QF,7,0,55,41,32,8,9,2,2,1,75,78,57
12273,12273,Basel,Hard,20091102,103819,28.2,103843,7-6(7) 6-3,SF,4,0,63,44,36,15,11,3,3,1,70,82,79
12672,12672,Miami Masters,Hard,20090325,103819,27.6,103240,6-3 6-2,R64,4,1,58,35,27,13,9,5,5,1,60,77,59
12688,12688,Miami Masters,Hard,20090325,103819,27.6,103017,6-4 6-1,R32,5,1,44,35,26,6,8,0,0,1,80,74,75
12696,12696,Miami Masters,Hard,20090325,103819,27.6,103758,6-3 6-2,R16,5,4,68,41,34,13,9,8,8,1,60,83,57
12700,12700,Miami Masters,Hard,20090325,103819,27.6,104053,6-3 4-6 6-4,QF,7,5,80,51,36,20,14,2,3,1,64,71,83
12767,12767,Indian Wells Masters,Hard,20090312,103819,27.5,102967,7-6(4) 6-4,R64,12,2,59,36,33,15,11,0,0,1,61,92,71
12783,12783,Indian Wells Masters,Hard,20090312,103819,27.5,103333,7-6(4) 6-3,R32,1,2,59,36,34,15,11,0,0,1,61,94,71
12791,12791,Indian Wells Masters,Hard,20090312,103819,27.5,103602,6-3 5-7 6-2,R16,3,3,86,44,36,25,15,1,2,1,51,82,64
12795,12795,Indian Wells Masters,Hard,20090312,103819,27.5,104269,6-3 7-6(5),QF,4,3,67,42,32,10,10,5,7,1,63,76,45
12869,12869,Monte Carlo Masters,Clay,20090412,103819,27.6,104312,6-4 6-4,R32,4,0,64,30,26,20,10,3,3,1,47,87,59
12970,12970,Rome Masters,Clay,20090427,103819,27.7,103333,6-4 6-4,R32,1,2,58,33,25,18,10,3,3,1,57,76,78
12978,12978,Rome Masters,Clay,20090427,103819,27.7,103285,6-4 6-1,R16,5,2,49,21,18,17,9,4,5,1,43,86,65
12982,12982,Rome Masters,Clay,20090427,103819,27.7,104999,7-6(3) 6-2,QF,2,0,55,36,31,13,10,0,0,1,65,86,68
13087,13087,Canada Masters,Hard,20090810,103819,28,102780,7-6(3) 6-4,R32,12,1,65,46,40,11,11,1,1,1,71,87,61
13103,13103,Canada Masters,Hard,20090810,103819,28,104527,6-3 7-6(5),R16,4,0,75,49,35,16,11,6,7,1,65,71,62
13142,13142,Cincinnati Masters,Hard,20090816,103819,28,104076,6-3 7-5,R32,14,2,58,40,35,11,11,1,1,1,69,88,69
13158,13158,Cincinnati Masters,Hard,20090816,103819,28,103970,3-6 6-3 6-4,R16,6,2,85,53,40,15,14,4,7,1,62,75,50
13166,13166,Cincinnati Masters,Hard,20090816,103819,28,103720,6-3 6-4,QF,11,1,51,27,24,16,10,0,0,1,53,89,70
13170,13170,Cincinnati Masters,Hard,20090816,103819,28,104918,6-2 7-6(8),SF,4,1,62,35,31,16,10,0,0,1,56,89,62
13172,13172,Cincinnati Masters,Hard,20090816,103819,28,104925,6-1 7-5,F,7,0,60,33,28,15,10,3,4,1,55,85,56
13421,13421,Doha,Hard,20090105,103819,27.4,103808,6-2 6-2,R32,5,1,39,25,22,10,8,0,0,1,64,88,77
13429,13429,Doha,Hard,20090105,103819,27.4,104312,6-3 6-3,R16,4,2,66,38,27,16,9,3,4,1,58,71,62
13433,13433,Doha,Hard,20090105,103819,27.4,104259,6-2 7-6(6),QF,4,0,60,42,29,11,10,1,3,1,70,69,61
13825,13825,Roland Garros,Clay,20090525,103819,27.7,103252,6-4 6-3 6-2,R128,10,0,75,51,40,16,14,0,1,1,68,78,67
